filename, language, JavaScript, Properties, JSON, Groovy, Batch, C++, Objective-C, XML, Java, comment, blank, total
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/.eslintrc.js, JavaScript, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/.gitattributes, Properties, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/__tests__/App-test.js, JavaScript, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/android/app/build.gradle, Groovy, 0, 0, 0, 84, 0, 0, 0, 0, 0, 108, 14, 206
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/android/app/src/debug/AndroidManifest.xml, XML, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/android/app/src/main/AndroidManifest.xml, XML, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 4, 30
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/android/app/src/main/java/com/dokanek/MainActivity.java, Java, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 4, 16
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/android/app/src/main/java/com/dokanek/MainApplication.java, Java, 0, 0, 0, 0, 0, 0, 0, 0, 55, 11, 9, 75
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/android/app/src/main/res/values/strings.xml, XML, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/android/app/src/main/res/values/styles.xml, XML, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 3, 10
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/android/build.gradle, Groovy, 0, 0, 0, 32, 0, 0, 0, 0, 0, 5, 5, 42
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/android/gradle.properties, Properties, 0, 2, 0, 0, 0, 0, 0, 0, 0, 14, 6, 22
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/android/gradle/wrapper/gradle-wrapper.properties, Properties, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/android/gradlew.bat, Batch, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 25, 101
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/android/settings.gradle, Groovy, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/app.json, JSON, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/babel.config.js, JavaScript, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/index.js, JavaScript, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 10
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/ios/Dokanek/AppDelegate.h, C++, 0, 0, 0, 0, 0, 5, 0, 0, 0, 6, 5, 16
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/ios/Dokanek/AppDelegate.m, Objective-C, 0, 0, 0, 0, 0, 0, 30, 0, 0, 6, 8, 44
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/ios/Dokanek/Base.lproj/LaunchScreen.xib, XML, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 1, 43
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/ios/Dokanek/Images.xcassets/AppIcon.appiconset/Contents.json, JSON, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 38
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/ios/Dokanek/Images.xcassets/Contents.json, JSON, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/ios/Dokanek/main.m, Objective-C, 0, 0, 0, 0, 0, 0, 7, 0, 0, 6, 4, 17
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/jsconfig.json, JSON, 0, 0, 5, 0, 0, 0, 0, 0, 0, 16, 0, 21
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/metro.config.js, JavaScript, 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/package-lock.json, JSON, 0, 0, 8946, 0, 0, 0, 0, 0, 0, 0, 1, 8947
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/package.json, JSON, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 53
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/bootstrap/globalState.js, JavaScript, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/bootstrap/initialize.js, JavaScript, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 24
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/atoms/Accordion.js, JavaScript, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 84
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/atoms/Badge.js, JavaScript, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/atoms/Block.js, JavaScript, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 241
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/atoms/Button.js, JavaScript, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 139
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/atoms/Card.js, JavaScript, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 168
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/atoms/Divider.js, JavaScript, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/atoms/HorizontalList.js, JavaScript, 23, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 35
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/atoms/Image.js, JavaScript, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/atoms/Input.js, JavaScript, 287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 299
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/atoms/Map.js, JavaScript, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/atoms/Rating.js, JavaScript, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/atoms/Section.js, JavaScript, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/atoms/Switch.js, JavaScript, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/atoms/Text.js, JavaScript, 124, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 138
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/atoms/VerticalList.js, JavaScript, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 20
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/atoms/index.js, JavaScript, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/AddressMap.js, JavaScript, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/CartItem.js, JavaScript, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 102
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/CartList.js, JavaScript, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/CartTotal.js, JavaScript, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/Features.js, JavaScript, 96, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 99
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/FieldInput.js, JavaScript, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 25
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/LoadingAnimation.js, JavaScript, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 82
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/OrderHistoryItem.js, JavaScript, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/OrderHistoryList.js, JavaScript, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/OrderStatus.js, JavaScript, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 54
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/OrderSummaryItem.js, JavaScript, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 92
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/OrderSummaryList.js, JavaScript, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/OrderSummaryTotal.js, JavaScript, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 50
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/Pick.js, JavaScript, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/Picks.js, JavaScript, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/SearchBox.js, JavaScript, 78, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 88
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/SearchItem.js, JavaScript, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/SearchList.js, JavaScript, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/SettingsItem.js, JavaScript, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/SettingsList.js, JavaScript, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/Slider.js, JavaScript, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 93
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/buttons/CircularButton.js, JavaScript, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/buttons/index.js, JavaScript, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/forms/AddAddress.js, JavaScript, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 90
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/forms/LoginForm.js, JavaScript, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 94
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/forms/ResetForm.js, JavaScript, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 83
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/forms/SignUpForm.js, JavaScript, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 92
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/forms/index.js, JavaScript, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/index.js, JavaScript, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/logos/Logo.js, JavaScript, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/molecules/logos/index.js, JavaScript, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/organisms/Cart.js, JavaScript, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/organisms/CartList.js, JavaScript, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 65
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/organisms/CartTotal.js, JavaScript, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/organisms/Features.js, JavaScript, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/organisms/HomeHeader.js, JavaScript, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/organisms/HomeSlider.js, JavaScript, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/organisms/LoginForm.js, JavaScript, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/organisms/OrderHistory.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/organisms/OrderSummary.js, JavaScript, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 59
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/organisms/OrderSummaryList.js, JavaScript, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 65
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/organisms/OrderSummaryTotal.js, JavaScript, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/organisms/ProductSlider.js, JavaScript, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/organisms/SearchBox.js, JavaScript, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/organisms/SearchList.js, JavaScript, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 52
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/organisms/Settings.js, JavaScript, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/organisms/SettingsList.js, JavaScript, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/organisms/TopPicks.js, JavaScript, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 75
/Users/mohamedkassim/Desktop/untitled folder/Dokanek/src/components/organisms/buttons/CheckoutButton.js, JavaScript, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
